,filename,errors count,good words count,metric,Levenshtein,
113,mdd_cannon1/12.marked.txt,2,33,0.05714,24,0.685714285714286
121,skazki/IMG_20190715_122836.marked.txt,3,31,0.08824,24,0.705882352941176
47,skazki/IMG_20190715_121335.marked.txt,9,45,0.16667,25,0.462962962962963
136,skazki/IMG_20190715_121643.marked.txt,14,26,0.35,25,0.625
153,telefon/IMG_20190715_123148.marked.txt,2,22,0.08333,25,1.04166666666667
181,telefon/IMG_20190715_123250.marked.txt,7,16,0.30435,25,1.08695652173913
62,ola/IMG_5200.marked.txt,4,41,0.08889,26,0.577777777777778
67,skazki/IMG_20190715_121956.marked.txt,1,41,0.02381,26,0.619047619047619
196,telefon/IMG_20190715_123303.marked.txt,8,13,0.38095,26,1.23809523809524
14,skazki/IMG_20190715_121413.marked.txt,7,55,0.1129,27,0.435483870967742
165,telefon/IMG_20190715_123336.marked.txt,5,20,0.2,27,1.08
211,ola/IMG_5372.marked.txt,0,2,0,27,13.5
4,skazki/IMG_20190715_121400.marked.txt,2,59,0.03279,28,0.459016393442623
21,skazki/IMG_20190715_121339.marked.txt,0,52,0,28,0.538461538461538
90,skazki/IMG_20190715_121303.marked.txt,6,36,0.14286,28,0.666666666666667
128,skazki/IMG_20190715_122434.marked.txt,1,29,0.03333,28,0.933333333333333
200,telefon/IMG_20190715_123244.marked.txt,6,11,0.35294,28,1.64705882352941
39,skazki/IMG_20190715_121218.marked.txt,2,46,0.04167,29,0.604166666666667
25,skazki/IMG_20190715_121229.marked.txt,1,50,0.01961,30,0.588235294117647
3,skazki/IMG_20190715_121351.marked.txt,3,60,0.04762,31,0.492063492063492
61,skazki/IMG_20190715_121634.marked.txt,4,42,0.08696,31,0.673913043478261
140,mdd-redmi1/11.marked.txt,6,25,0.19355,31,1
111,skazki/IMG_20190715_122417.marked.txt,2,33,0.05714,33,0.942857142857143
192,telefon/IMG_20190715_123312.marked.txt,11,14,0.44,34,1.36
63,skazki/IMG_20190715_121433.marked.txt,4,41,0.08889,35,0.777777777777778
185,skazki/IMG_20190715_122846.marked.txt,5,15,0.25,37,1.85
168,chudo_derevo_redmi/IMG_20190715_113023.marked.txt,4,19,0.17391,38,1.65217391304348
195,uploaded/IMG_20190731_131541.marked.txt,12,14,0.46154,38,1.46153846153846
17,skazki/IMG_20190715_121327.marked.txt,3,53,0.05357,40,0.714285714285714
179,telefon/IMG_20190715_123522.marked.txt,1,16,0.05882,40,2.35294117647059
5,skazki/IMG_20190715_121423.marked.txt,3,59,0.04839,42,0.67741935483871
38,skazki/IMG_20190715_121101.marked.txt,14,46,0.23333,42,0.7
182,chudo_derevo_redmi/IMG_20190715_113037.marked.txt,1,15,0.0625,43,2.6875
74,skazki/IMG_20190715_122518.marked.txt,4,39,0.09302,44,1.02325581395349
154,skazki/IMG_20190715_121542.marked.txt,6,21,0.22222,44,1.62962962962963
198,ola/IMG_5373.marked.txt,0,11,0,44,4
32,skazki/IMG_20190715_121114.marked.txt,20,47,0.29851,47,0.701492537313433
66,skazki/IMG_20190715_122405.marked.txt,6,41,0.12766,47,1
78,skazki/IMG_20190715_122409.marked.txt,2,39,0.04878,50,1.21951219512195
202,ola/IMG_5369.marked.txt,1,9,0.1,50,5
203,telefon/IMG_20190715_123443.marked.txt,7,9,0.4375,52,3.25
102,skazki/IMG_20190715_122849.marked.txt,3,34,0.08108,53,1.43243243243243
184,telefon/IMG_20190715_123504.marked.txt,5,15,0.25,53,2.65
193,telefon/IMG_20190715_123426.marked.txt,2,14,0.125,53,3.3125
199,skazki/IMG_20190715_122928.marked.txt,2,11,0.15385,54,4.15384615384615
101,skazki/IMG_20190715_122809.marked.txt,11,34,0.24444,55,1.22222222222222
11,skazki/IMG_20190715_121048.marked.txt,16,56,0.22222,57,0.791666666666667
29,skazki/IMG_20190715_121251.marked.txt,5,49,0.09259,57,1.05555555555556
