,filename,errors count,good words count,metric,Levenshtein,Letters sum
170,telefon/IMG_20190715_123331.marked.txt,2,18,0.1,5,143
202,ola/IMG_5369.marked.txt,1,9,0.1,50,73
99,skazki/IMG_20190715_121208.marked.txt,4,34,0.10526,2,242
173,telefon/IMG_20190715_123208.marked.txt,2,17,0.10526,4,129
27,skazki/IMG_20190715_122504.marked.txt,6,50,0.10714,58,340
137,chudo_derevo_redmi/IMG_20190715_113026.marked.txt,3,25,0.10714,9,174
139,mdd-redmi1/10.marked.txt,3,25,0.10714,21,165
115,mdd-redmi1/09.marked.txt,4,32,0.11111,11,225
174,ola/IMG_5365.marked.txt,2,16,0.11111,18,119
175,ola/IMG_5366.marked.txt,2,16,0.11111,21,118
14,skazki/IMG_20190715_121413.marked.txt,7,55,0.1129,27,356
72,skazki/IMG_20190715_121640.marked.txt,5,39,0.11364,4,274
122,skazki/IMG_20190715_122857.marked.txt,4,31,0.11429,109,222
150,telefon/IMG_20190715_123252.marked.txt,3,23,0.11538,15,153
80,skazki/IMG_20190715_121656.marked.txt,5,38,0.11628,3,294
183,telefon/IMG_20190715_123233.marked.txt,2,15,0.11765,6,98
13,skazki/IMG_20190715_121611.marked.txt,8,56,0.125,13,390
187,mdd-redmi1/03.marked.txt,2,14,0.125,3,106
188,mdd_cannon1/03.marked.txt,2,14,0.125,8,105
190,telefon/IMG_20190715_123230.marked.txt,2,14,0.125,57,95
193,telefon/IMG_20190715_123426.marked.txt,2,14,0.125,53,96
66,skazki/IMG_20190715_122405.marked.txt,6,41,0.12766,47,275
69,skazki/IMG_20190715_121653.marked.txt,6,40,0.13043,2,307
157,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,3,20,0.13043,12,130
158,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,20,0.13043,2,144
167,telefon/IMG_20190715_123133.marked.txt,3,19,0.13636,16,130
57,skazki/IMG_20190715_121740.marked.txt,7,42,0.14286,14,329
90,skazki/IMG_20190715_121303.marked.txt,6,36,0.14286,28,257
145,telefon/IMG_20190715_123145.marked.txt,4,24,0.14286,9,188
147,chudo_derevo_redmi/IMG_20190715_113010.marked.txt,4,23,0.14815,21,179
149,telefon/IMG_20190715_123137.marked.txt,4,23,0.14815,15,172
75,skazki/IMG_20190715_122909.marked.txt,7,39,0.15217,85,268
199,skazki/IMG_20190715_122928.marked.txt,2,11,0.15385,54,78
178,telefon/IMG_20190715_123324.marked.txt,3,16,0.15789,16,120
155,uploaded/15662143454241346711394.marked.txt,4,21,0.16,108,134
19,skazki/IMG_20190715_121034.marked.txt,10,52,0.16129,7,400
120,skazki/IMG_20190715_122826.marked.txt,6,31,0.16216,70,224
47,skazki/IMG_20190715_121335.marked.txt,9,45,0.16667,25,330
106,skazki/IMG_20190715_122759.marked.txt,7,34,0.17073,77,242
168,chudo_derevo_redmi/IMG_20190715_113023.marked.txt,4,19,0.17391,38,142
58,skazki/IMG_20190715_121747.marked.txt,9,42,0.17647,7,354
189,telefon/IMG_20190715_123123.marked.txt,3,14,0.17647,18,91
171,chudo_derevo_redmi/IMG_20190715_112936.marked.txt,4,18,0.18182,4,135
70,skazki/IMG_20190715_121631.marked.txt,9,40,0.18367,8,312
56,skazki/IMG_20190715_121426.marked.txt,10,43,0.18868,70,320
140,mdd-redmi1/11.marked.txt,6,25,0.19355,31,225
130,skazki/IMG_20190715_122913.marked.txt,7,29,0.19444,126,216
165,telefon/IMG_20190715_123336.marked.txt,5,20,0.2,27,150
177,telefon/IMG_20190715_123258.marked.txt,4,16,0.2,10,128
96,skazki/IMG_20190715_122816.marked.txt,9,35,0.20455,63,270
1,skazki/IMG_20190715_121044.marked.txt,16,60,0.21053,9,548
20,skazki/IMG_20190715_121058.marked.txt,14,52,0.21212,76,407
135,skazki/IMG_20190715_122217.marked.txt,7,26,0.21212,153,204
11,skazki/IMG_20190715_121048.marked.txt,16,56,0.22222,57,464
97,skazki/IMG_20190715_122901.marked.txt,10,35,0.22222,77,292
154,skazki/IMG_20190715_121542.marked.txt,6,21,0.22222,44,177
191,telefon/IMG_20190715_123241.marked.txt,4,14,0.22222,23,107
38,skazki/IMG_20190715_121101.marked.txt,14,46,0.23333,42,446
152,skazki/IMG_20190715_122325.marked.txt,7,22,0.24138,132,168
101,skazki/IMG_20190715_122809.marked.txt,11,34,0.24444,55,261
184,telefon/IMG_20190715_123504.marked.txt,5,15,0.25,53,122
185,skazki/IMG_20190715_122846.marked.txt,5,15,0.25,37,121
117,skazki/IMG_20190715_122819.marked.txt,11,32,0.25581,116,255
176,telefon/IMG_20190715_123156.marked.txt,6,16,0.27273,6,129
180,ola/IMG_5370.marked.txt,6,16,0.27273,6,131
148,skazki/IMG_20190715_122803.marked.txt,9,23,0.28125,69,178
133,skazki/IMG_20190715_122812.marked.txt,11,27,0.28947,123,205
32,skazki/IMG_20190715_121114.marked.txt,20,47,0.29851,47,452
181,telefon/IMG_20190715_123250.marked.txt,7,16,0.30435,25,139
83,skazki/IMG_20190715_121436.marked.txt,17,37,0.31481,87,297
162,skazki/IMG_20190715_121019.marked.txt,10,20,0.33333,14,192
194,telefon/IMG_20190715_123542.marked.txt,7,14,0.33333,66,129
204,chudo_derevo_redmi/IMG_20190715_112912.marked.txt,4,8,0.33333,2,74
136,skazki/IMG_20190715_121643.marked.txt,14,26,0.35,25,232
200,telefon/IMG_20190715_123244.marked.txt,6,11,0.35294,28,116
201,mdd-redmi1/02.marked.txt,6,10,0.375,1,120
196,telefon/IMG_20190715_123303.marked.txt,8,13,0.38095,26,122
206,skazki/IMG_20190715_121011.marked.txt,5,7,0.41667,6,71
203,telefon/IMG_20190715_123443.marked.txt,7,9,0.4375,52,98
192,telefon/IMG_20190715_123312.marked.txt,11,14,0.44,34,158
195,uploaded/IMG_20190731_131541.marked.txt,12,14,0.46154,38,162
205,mdd_cannon1/02.marked.txt,7,8,0.46667,10,109
197,skazki/IMG_20190715_121126.marked.txt,11,12,0.47826,18,167
207,mdd_cannon1/01crop.marked.txt,4,4,0.5,3,67
208,mdd-redmi1/01crop.marked.txt,4,3,0.57143,5,63
