,filename,errors count,good words count,metric,Levenshtein,
11,skazki/IMG_20190715_121433.marked.txt,9,86,0.09474,35,0.368421052631579
95,skazki/IMG_20190715_121640.marked.txt,6,57,0.09524,4,0.063492063492064
189,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,28,0.09677,2,0.064516129032258
106,skazki/IMG_20190715_121215.marked.txt,6,55,0.09836,5,0.081967213114754
77,skazki/IMG_20190715_122409.marked.txt,7,64,0.09859,50,0.704225352112676
111,skazki/IMG_20190715_121208.marked.txt,6,54,0.1,2,0.033333333333333
164,telefon/IMG_20190715_123159.marked.txt,4,36,0.1,4,0.1
166,chudo_derevo_redmi/IMG_20190715_113048.marked.txt,4,35,0.10256,8,0.205128205128205
9,skazki/IMG_20190715_121608.marked.txt,10,87,0.10309,22,0.22680412371134
140,skazki/IMG_20190715_121517.marked.txt,5,43,0.10417,15,0.3125
16,skazki/IMG_20190715_122500.marked.txt,10,84,0.10638,18,0.191489361702128
44,skazki/IMG_20190715_122507.marked.txt,9,75,0.10714,18,0.214285714285714
197,chudo_derevo_redmi/IMG_20190715_113037.marked.txt,3,25,0.10714,43,1.53571428571429
93,ola/IMG_5201.marked.txt,7,58,0.10769,5,0.076923076923077
20,skazki/IMG_20190715_121403.marked.txt,10,82,0.1087,9,0.097826086956522
129,skazki/IMG_20190715_121928.marked.txt,6,48,0.11111,10,0.185185185185185
149,skazki/IMG_20190715_122829.marked.txt,5,40,0.11111,60,1.33333333333333
105,mdd-redmi1/10.marked.txt,7,55,0.1129,21,0.338709677419355
155,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,5,38,0.11628,15,0.348837209302326
34,skazki/IMG_20190715_121611.marked.txt,11,79,0.12222,13,0.144444444444444
193,chudo_derevo_redmi/IMG_20190715_112936.marked.txt,4,28,0.125,4,0.125
204,telefon/IMG_20190715_123233.marked.txt,3,21,0.125,6,0.25
190,telefon/IMG_20190715_123123.marked.txt,4,28,0.125,18,0.5625
17,skazki/IMG_20190715_121034.marked.txt,12,83,0.12632,7,0.073684210526316
115,mdd_cannon1/12.marked.txt,8,54,0.12903,24,0.387096774193548
62,skazki/IMG_20190715_121740.marked.txt,10,67,0.12987,14,0.181818181818182
