,filename,errors count,good words count,metric,Levenshtein,Letters sum
183,kov/227390e9-3e83-4883-9ecb-5d67de88584a.marked.txt,4,1,0.33333,46,31
156,uploaded/1564580967427104972811.marked.txt,11,12,0.34375,87,127
27,skazki/IMG_20190715_121114.marked.txt,39,47,0.34821,47,532
166,mdd_cannon1/02.marked.txt,12,8,0.35294,10,138
168,skazki/IMG_20190715_121011.marked.txt,6,7,0.35294,6,79
153,telefon/IMG_20190715_123542.marked.txt,11,14,0.35484,66,148
169,uploaded/2378374bda87d842436936f81d442bfb.marked.txt,33,7,0.36264,62,163
173,mdd_cannon1/01crop.marked.txt,4,4,0.36364,3,72
176,mdd-redmi1/01crop.marked.txt,4,3,0.36364,5,69
186,kov/67be06e4-753a-44ea-aa3f-665d0304ce9c.marked.txt,15,0,0.38462,84,64
151,telefon/IMG_20190715_123312.marked.txt,19,14,0.40426,34,197
172,uploaded/15662872188361764114561.marked.txt,26,5,0.4127,177,154
159,telefon/IMG_20190715_123244.marked.txt,15,11,0.41667,28,149
163,telefon/IMG_20190715_123443.marked.txt,16,9,0.42105,52,138
127,skazki/IMG_20190715_121019.marked.txt,26,20,0.42623,14,244
182,kov/15e4578a-2295-40ef-969a-a8e8c2c7c740.marked.txt,36,1,0.48649,195,142
171,ang_redmi/02.marked.txt,19,5,0.48718,25,133
167,kov/b026ed12-bc33-482a-89d6-88a35722935a.marked.txt,34,8,0.50746,86,228
164,kov/648bb39e-7f24-461c-9a77-04bed24bbc2e.marked.txt,38,9,0.52778,86,218
187,kov/6c4425c1-ecb1-499f-ad8a-283f802a1936.marked.txt,7,0,0.53846,96,17
180,ang_redmi/01.marked.txt,25,2,0.60976,244,89
181,kov/0cf2b6ac-036f-429b-8b9d-405415ee5840.marked.txt,41,2,0.63077,143,172
